"protocol","readout","SID","CCLASS","CCLASS2","LAC50","HILL","INF","ZERO","MAXR","NPT","FAUC","TAUC","DATA0","DATA1","DATA2","DATA3","DATA4","DATA5","DATA6","DATA7","DATA8","DATA9","DATA10","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","name","target","smi"
"s-cd47-4T1B+CD47-1","activity","NCGC00013226-15",1.3,4,-7.6792094394,3.5117481694,97.57935009,84.88664457,99.33434727,11,NA,NA,93.07935009,83.35165026,78.75209549,91.41452779,97.96547081,97.07813461,97.78504379,96.78193718,90.44818783,104.16383604,99.33434727,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Stelazine
trifluoperzine","DRD2","CN1CCN(CCCN2C3=C(SC4=C2C=C(C=C4)C(F)(F)F)C=CC=C3)CC1"
"s-cd47-4T1B+CD47-1","activity","NCGC00013724-01",1.3,4,-7.8292094394,4.9549173134,100.14502297,91.304155994,92.630519,11,NA,NA,100.64502297,92.80689602,79.94430049,101.49455072,99.26313598,97.30306835,103.94732112,97.70309725,103.6059451,97.69229428,92.630519,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Methscopolamine bromide",NA,"O=C([C@@H]([C@]4=CC=CC=C4)CO)O[C@@H]2C[C@@H]3[C@H]1O[C@H]1[C@@H]([N@+](C)3C)C2"
"s-cd47-4T1B+CD47-1","activity","NCGC00013822-03",2.3,-2.4,-4.5292094394,0.3,52.1167012368,95.25667886,63.5445746,11,NA,NA,99.25667886,83.85359747,82.53550286,92.88571658,94.18472774,86.95295044,86.0456987,85.04881935,78.65714974,83.08012854,63.5445746,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"NSC-75503","SHH","S1C(=C(C2=CC=NC=C2)C(=C1C3=CC=NC=C3)C4=CC=NC=C4)C5=CC=NC=C5"
"s-cd47-4T1B+CD47-1","activity","NCGC00013841-08",4,-2.1,-5.0292094394,0.9999999999,6.6771859159,98.04758769,17.32988363,11,NA,NA,88.04758769,91.98081742,99.01234035,101.90345994,97.4374093,101.71333557,102.42145265,84.33793278,52.8936113,53.90915338,17.32988363,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cyclobenzaprine hydrochloride","HTR2A","CN(C)CCC=C1C2=C(C=CC=C2)\C=C/C3=C1C=CC=C3"
"s-cd47-4T1B+CD47-1","activity","NCGC00014352-03",4,-1.1,-5.4792094394,1.8851180601,5.0118010215,91.1911477159,5.2017774,11,NA,NA,100.18996664,85.04303357,85.63069585,90.41934788,84.05406917,87.8621327,97.96837719,77.04565599,25.17304153,13.18326914,5.2017774,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"GANT61","SHH","CN(C)C1=C(CN2CCCN(CC3=C(C=CC=C3)N(C)C)C2C4=CC=NC=C4)C=CC=C1"
"s-cd47-4T1B+CD47-1","activity","NCGC00014650-03",4,-1.2,-5.4792094394,1.78848746,7.976910166,40.14148407,8.00433915,11,NA,NA,40.64148407,45.5270017,40.88484135,37.86578127,37.75584883,34.17699938,43.51336188,31.13130401,18.92153987,9.5416847,8.00433915,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Ansamitocin P3","TUBB","CO[C@@H]1/C=C/C=C(C)/CC2=CC(=C(Cl)C(=C2)OC)N(C)C(=O)C[C@H](OC(=O)C(C)C)[C@]3(C)O[C@@H]3[C@H](C)[C@@H]4C[C@@]1(O)NC(=O)O4"
"s-cd47-4T1B+CD47-1","activity","NCGC00014670-16",2.3,-3,-4.4292094394,4.9549173134,54.4586873576,99.65379932,65.7787145,11,NA,NA,101.15379932,91.6429719,97.63270349,102.52457402,104.26850305,99.23981086,103.3496781,96.91519874,98.90172252,100.99996813,65.7787145,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Domperidone","DRD1","ClC1=CC2=C(C=C1)N(C3CCN(CCCN4C(=O)NC5=C4C=CC=C5)CC3)C(=O)N2"
"s-cd47-4T1B+CD47-1","activity","NCGC00014873-04",4,-2.1,-4.7292094394,1.21,-8.7208586979,89.83208941,6.62129932,11,NA,NA,83.33208941,90.07722656,99.40293164,95.65135323,82.12670629,95.95283581,90.84466353,75.99188074,67.09524237,55.58262519,6.62129932,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"HLI-373989","MDM2","CN(C)CCCN\C1=C\2C(=O)N(C)C(=O)\N=C2N(C)C3=C1C=CC=C3"
"s-cd47-4T1B+CD47-1","activity","NCGC00014891-03",1.3,4,-6.6679734446,1.287561,94.64426608,82.711691936,92.27376745,11,NA,NA,94.14426608,76.68721754,72.11712096,90.04466209,87.16413285,87.8299873,97.31555995,92.48842083,93.54790642,96.98972139,92.27376745,0.001560829493,0.0046825345622,0.014047557603,0.042142626728,0.1264278341,0.37928354838,1.137850599,3.4135517972,10.240655391,30.721966221,92.165898617,"RG-108","DNMT1","OC(=O)[C@H](CC1=C[NH]C2=C1C=CC=C2)N3C(=O)C4=C(C=CC=C4)C3=O"
"s-cd47-4T1B+CD47-1","activity","NCGC00014911-01",4,-1.1,-7.1792094394,2.2526478767,7.8355973875,95.488343821,3.59784568,11,NA,NA,95.7228828,90.55211624,89.42586672,100.94323547,54.3771491,11.7066247,9.84553022,9.56339794,9.91582173,10.73476502,3.59784568,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cucurbitacin I","JAK2","CC(C)(O)\C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@]2(C)[C@@H]3C\C=C4/[C@@H](/C=C(/O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@@]12C"
