"protocol","readout","SID","CCLASS","CCLASS2","LAC50","HILL","INF","ZERO","MAXR","NPT","FAUC","TAUC","DATA0","DATA1","DATA2","DATA3","DATA4","DATA5","DATA6","DATA7","DATA8","DATA9","DATA10","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","name","target","smi"
"s-cd47-4T1B-1","activity","NCGC00013226-15",1.3,4,-4.8792094394,1.372261,100.55700113,86.39695633,98.39314451,11,NA,NA,100.55700113,86.43943112,80.84029713,82.45579116,83.47432004,85.99354667,85.56320757,87.09172843,89.79245649,93.75677356,98.39314451,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Stelazine
trifluoperzine","DRD2","CN1CCN(CCCN2C3=C(SC4=C2C=C(C=C4)C(F)(F)F)C=CC=C3)CC1"
"s-cd47-4T1B-1","activity","NCGC00013724-01",1.3,4,-7.8292094394,4.9549173134,92.93665101,87.181673938,91.59156368,11,NA,NA,93.93665101,84.42516619,83.30750345,92.64985721,97.0238113,94.16369009,92.93772667,91.14959226,90.19500801,92.55792309,91.59156368,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Methscopolamine bromide",NA,"O=C([C@@H]([C@]4=CC=CC=C4)CO)O[C@@H]2C[C@@H]3[C@H]1O[C@H]1[C@@H]([N@+](C)3C)C2"
"s-cd47-4T1B-1","activity","NCGC00013822-03",1.3,-2.4,-5.0792094394,0.2,55.749106364,97.52382538,66.48237158,11,NA,NA,100.02382538,86.95657723,80.82163947,85.63718414,85.97593951,84.75256259,88.09092012,85.55727621,74.84953298,78.47824278,66.48237158,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"NSC-75503","SHH","S1C(=C(C2=CC=NC=C2)C(=C1C3=CC=NC=C3)C4=CC=NC=C4)C5=CC=NC=C5"
"s-cd47-4T1B-1","activity","NCGC00013841-08",4,-2.2,-5.0792094394,1.21,6.8422033648,92.0328853175,13.8217906,11,NA,NA,88.75800071,84.48228818,89.30189521,92.31159257,89.73096845,96.73779658,98.32409845,86.82889774,49.77133326,42.53799537,13.8217906,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cyclobenzaprine hydrochloride","HTR2A","CN(C)CCC=C1C2=C(C=CC=C2)\C=C/C3=C1C=CC=C3"
"s-cd47-4T1B-1","activity","NCGC00014352-03",4,-1.1,-5.2292094394,1.9673362061,0.4456835726,92.000810721,3.01634589,11,NA,NA,101.88797348,91.66551114,85.85663244,90.23657181,86.38059782,84.93681823,100.40011486,84.80037166,50.11148062,12.58006379,3.01634589,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"GANT61","SHH","CN(C)C1=C(CN2CCCN(CC3=C(C=CC=C3)N(C)C)C2C4=CC=NC=C4)C=CC=C1"
"s-cd47-4T1B-1","activity","NCGC00014650-03",4,-2.4,-5.4292094394,1.826479391,6.059093126,35.21237181,6.75130624,11,NA,NA,37.71237181,36.86352899,36.26720208,31.01137342,32.25303784,35.30107557,33.93944945,30.745428,15.0372241,8.5995721,6.75130624,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Ansamitocin P3","TUBB","CO[C@@H]1/C=C/C=C(C)/CC2=CC(=C(Cl)C(=C2)OC)N(C)C(=O)C[C@H](OC(=O)C(C)C)[C@]3(C)O[C@@H]3[C@H](C)[C@@H]4C[C@@]1(O)NC(=O)O4"
"s-cd47-4T1B-1","activity","NCGC00014670-16",2.3,-3,-4.6292094394,4.0949729863,55.330411066,93.48908077,57.73028113,11,NA,NA,88.48908077,95.31972125,84.95973965,91.99717044,94.4834153,91.31384002,96.92699227,100.21138249,96.02058749,87.96281433,57.73028113,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Domperidone","DRD1","ClC1=CC2=C(C=C1)N(C3CCN(CCCN4C(=O)NC5=C4C=CC=C5)CC3)C(=O)N2"
"s-cd47-4T1B-1","activity","NCGC00014873-04",4,-2.2,-4.8292094394,0.7999999999,-17.9265864548,85.06256261,7.49043903,11,NA,NA,86.91864367,89.38432976,78.00402871,82.47769176,91.05124963,81.52122537,76.30383561,65.58360063,53.21428505,37.71552787,7.49043903,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"HLI-373989","MDM2","CN(C)CCCN\C1=C\2C(=O)N(C)C(=O)\N=C2N(C)C3=C1C=CC=C3"
"s-cd47-4T1B-1","activity","NCGC00014891-03",1.3,4,-6.5179734446,3.9294729863,91.88221711,81.4444893859,72.44424632,11,NA,NA,87.88221711,75.85077734,77.91892941,84.68250568,81.60054367,88.74903602,94.13811217,93.75888295,87.73447177,91.82622269,72.44424632,0.001560829493,0.0046825345622,0.014047557603,0.042142626728,0.1264278341,0.37928354838,1.137850599,3.4135517972,10.240655391,30.721966221,92.165898617,"RG-108","DNMT1","OC(=O)[C@H](CC1=C[NH]C2=C1C=CC=C2)N3C(=O)C4=C(C=CC=C4)C3=O"
"s-cd47-4T1B-1","activity","NCGC00014911-01",4,-1.1,-7.0292094394,3.5117481694,6.6963940872,91.828645229,2.380137,11,NA,NA,96.21181281,89.80560872,87.38551699,95.2593841,73.08933606,11.50729826,7.50301362,8.42508938,6.74210312,10.06165515,2.380137,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cucurbitacin I","JAK2","CC(C)(O)\C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@]2(C)[C@@H]3C\C=C4/[C@@H](/C=C(/O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@@]12C"
"s-cd47-4T1B-1","activity","NCGC00014925-07",4,-1.2,-5.6292094394,0.9999999999,19.1744549884,83.7507906525,20.44483301,11,NA,NA,79.17705617,84.91153007,85.64572771,83.49909788,78.47291807,88.97014336,62.60510044,60.97737093,36.58027607,32.61032239,20.44483301,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Topotecan hydrochloride","TOP1","CC[C@@]1(O)C(=O)OC\C2=C1\C=C3/N(CC4=CC5=C(C=CC(=C5CN(C)C)O)N=C34)C2=O"
"s-cd47-4T1B-1","activity","NCGC00014926-03",4,-2.1,-4.9292094394,1.0999999999,-11.1518030344,92.380849753,8.7432087,11,NA,NA,93.04410588,91.91231657,95.37576997,83.87034273,93.70352758,93.86440806,93.7298941,74.11771552,67.25641023,30.62022806,8.7432087,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Carboxyamidotriazole",NA,"NC(=O)C1=C(N)[N](CC2=CC(=C(C(=C2)Cl)C(=O)C3=CC=C(Cl)C=C3)Cl)N=N1"
"s-cd47-4T1B-1","activity","NCGC00015004-11",1.1,-2.2,-4.8292094394,1.4780888099,23.0073038158,93.673400772,31.73710126,11,NA,NA,94.09279729,93.49895948,92.85343629,95.93106644,94.95949234,92.1108858,93.51927022,90.34685759,79.48917102,60.83262707,31.73710126,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Amoxapine","HTR2A","ClC1=CC\2=C(OC3=C(C=CC=C3)\N=C2N4CCNCC4)C=C1"
"s-cd47-4T1B-1","activity","NCGC00015026-14",2.3,-2.2,-4.7292094394,2.4063783767,32.412032733,90.36650616,32.48217782,11,NA,NA,84.36650616,82.40222668,87.21051149,85.21416684,94.7974227,94.69688645,101.19364836,95.90272644,82.01732719,70.76275721,32.48217782,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Atropine","CHRM1","CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3"
"s-cd47-4T1B-1","activity","NCGC00015034-02",2.3,4,-4.4792094394,4.9549173134,103.35926109,89.56342451,101.26384946,11,NA,NA,96.35926109,89.05836899,87.70380014,83.19606394,83.78811858,95.71946967,89.68674434,90.82562166,88.2740551,89.80704092,101.26384946,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"INO-1001","PARP1","NC(=O)C1=CC(=CC=C1)N"
"s-cd47-4T1B-1","activity","NCGC00015036-08",2.3,-3,-4.5292094394,4.9549173134,26.344939315,87.68844933,32.39262347,11,NA,NA,80.68844933,79.68956783,76.5342284,84.97234773,87.65582253,93.31344021,95.98981692,95.59473196,96.2778133,85.33662246,32.39262347,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Amantadine hydrochloride","DRD1","NC12CC3CC(CC(C3)C1)C2"
"s-cd47-4T1B-1","activity","NCGC00015038-08",4,-1.2,-7.3792094394,3.1319983358,35.4018852399,80.8954448619,20.25029268,11,NA,NA,82.6575862,82.77266518,76.13819677,77.4245138,46.01232294,20.1512518,43.86532827,54.24150778,38.67617967,33.57145852,20.25029268,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Aminopterin","DHFR","NC1=NC2=NC=C(CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)N=C2C(=N1)N"
