"protocol","readout","SID","CCLASS","CCLASS2","LAC50","HILL","INF","ZERO","MAXR","NPT","FAUC","TAUC","DATA0","DATA1","DATA2","DATA3","DATA4","DATA5","DATA6","DATA7","DATA8","DATA9","DATA10","C0","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","name","target","smi"
"s-vhl-UOK109-1","activity","NCGC00013226-15",1.3,-1.2,-5.5292094394,0.9999999999,38.3113808616,81.007162783,42.1332253,11,335.7738434017,326.8680643218,85.32648917,84.19638579,70.44278389,70.84114293,75.50125123,76.44846981,78.71903922,65.79152855,50.69578684,45.5885256,42.1332253,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Stelazine
trifluoperzine","DRD2","CN1CCN(CCCN2C3=C(SC4=C2C=C(C=C4)C(F)(F)F)C=CC=C3)CC1"
"s-vhl-UOK109-1","activity","NCGC00013724-01",1.3,4,-7.0292094394,4.9549173134,99.89382739,91.422054978,96.24293202,11,462.3570068927,461.7417341116,98.89382739,90.92456472,86.41735038,92.35911522,89.24481584,109.47831248,91.81031589,105.66736517,98.64226354,98.5063694,96.24293202,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Methscopolamine bromide",NA,"O=C([C@@H]([C@]4=CC=CC=C4)CO)O[C@@H]2C[C@@H]3[C@H]1O[C@H]1[C@@H]([N@+](C)3C)C2"
"s-vhl-UOK109-1","activity","NCGC00013822-03",2.3,-3,-4.4292094394,4.9549173134,39.0096474188,95.722297289,53.57963395,11,448.2335353666,438.1824585795,100.67334186,93.37565715,85.90619391,84.44059262,90.11287715,85.69148644,97.29309566,99.73398099,103.09007966,97.63848849,53.57963395,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"NSC-75503","SHH","S1C(=C(C2=CC=NC=C2)C(=C1C3=CC=NC=C3)C4=CC=NC=C4)C5=CC=NC=C5"
"s-vhl-UOK109-1","activity","NCGC00013841-08",1.3,-2.4,-4.8792094394,1.98874246,74.8509964719,103.77341882,76.75473353,11,481.4761876489,482.4591165505,101.27341882,100.19467323,99.43248643,110.25449606,104.54556635,107.30298592,102.00416436,105.58568707,99.48120083,87.67223962,76.75473353,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cyclobenzaprine hydrochloride","HTR2A","CN(C)CCC=C1C2=C(C=CC=C2)\C=C/C3=C1C=CC=C3"
"s-vhl-UOK109-1","activity","NCGC00014352-03",4,-2.2,-4.6292094394,0.7999999999,-11.2629456932,96.545174959,17.01459415,11,402.3314424976,397.099660991,105.38190616,100.01476075,89.65227753,92.25213802,91.35840484,89.22265078,94.39037118,77.55085054,69.68293737,65.69592761,17.01459415,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"GANT61","SHH","CN(C)C1=C(CN2CCCN(CC3=C(C=CC=C3)N(C)C)C2C4=CC=NC=C4)C=CC=C1"
"s-vhl-UOK109-1","activity","NCGC00014650-03",5,4,NA,NA,NA,NA,60.30831302,11,NA,285.983196241,62.56115544,64.18630719,58.26612627,63.45505853,58.56329739,57.17811594,55.16949323,58.79925187,58.80232438,59.05978644,60.30831302,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Ansamitocin P3","TUBB","CO[C@@H]1/C=C/C=C(C)/CC2=CC(=C(Cl)C(=C2)OC)N(C)C(=O)C[C@H](OC(=O)C(C)C)[C@]3(C)O[C@@H]3[C@H](C)[C@@H]4C[C@@]1(O)NC(=O)O4"
"s-vhl-UOK109-1","activity","NCGC00014670-16",5,4,NA,NA,NA,NA,89.10024885,11,NA,486.4011731761,108.98483918,98.82288438,97.05754973,101.8313589,101.42732434,103.79736302,104.62663081,96.58315816,105.01485793,104.62933375,89.10024885,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Domperidone","DRD1","ClC1=CC2=C(C=C1)N(C3CCN(CCCN4C(=O)NC5=C4C=CC=C5)CC3)C(=O)N2"
"s-vhl-UOK109-1","activity","NCGC00014873-04",1.1,-1.2,-5.5292094394,1.331,31.0903619102,103.746735977,32.62541127,11,408.7982516102,408.2064068668,107.7602165,98.86128313,105.59775253,101.54804864,102.35702208,101.42537692,97.51064951,81.95240003,51.24061334,42.45203022,32.62541127,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"HLI-373989","MDM2","CN(C)CCCN\C1=C\2C(=O)N(C)C(=O)\N=C2N(C)C3=C1C=CC=C3"
"s-vhl-UOK109-1","activity","NCGC00014891-03",5,4,NA,NA,NA,NA,82.36960526,11,NA,479.5001377267,105.50725323,94.69843212,90.40755095,84.33079321,92.09095373,99.59255571,105.3521181,98.02372369,101.9551285,101.8384393,82.36960526,0.001560829493,0.0046825345622,0.014047557603,0.042142626728,0.1264278341,0.37928354838,1.137850599,3.4135517972,10.240655391,30.721966221,92.165898617,"RG-108","DNMT1","OC(=O)[C@H](CC1=C[NH]C2=C1C=CC=C2)N3C(=O)C4=C(C=CC=C4)C3=O"
"s-vhl-UOK109-1","activity","NCGC00014911-01",4,-1.1,-7.0792094394,3.1319983358,7.0494536566,87.602370819,6.83812851,11,197.7356770222,197.4498685202,89.4247667,86.91926044,86.87611184,86.14609232,64.52409773,7.15007725,8.13609353,6.20080789,6.99358117,12.25007787,6.83812851,0.00078041474654,0.0023412442396,0.0070237788018,0.021071290322,0.06321391705,0.18964175115,0.56892529953,1.7067758986,5.1203276958,15.360983087,46.082949308,"Cucurbitacin I","JAK2","CC(C)(O)\C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@]2(C)[C@@H]3C\C=C4/[C@@H](/C=C(/O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@@]12C"
